iteration,step,reward,is_terminated
0,0,0,False
0,1,0,False
0,2,0,False
0,3,0,False
0,4,0,False
0,5,1,True
1,0,0,False
1,1,0,False
1,2,0,False
1,3,0,False
1,4,0,False
1,5,0,False
1,6,0,False
1,7,1,True
2,0,0,False
2,1,0,False
2,2,0,False
2,3,0,False
2,4,0,False
2,5,1,True
3,0,0,False
3,1,0,False
3,2,0,False
3,3,0,False
3,4,0,False
3,5,0,False
3,6,0,False
3,7,0,False
3,8,0,False
3,9,0,False
3,10,0,False
3,11,0,False
3,12,0,False
3,13,1,True
4,0,0,False
4,1,0,False
4,2,0,False
4,3,0,False
4,4,0,True
6,0,0,False
6,1,0,False
6,2,0,False
6,3,0,False
6,4,0,False
6,5,1,True
7,0,0,False
7,1,0,False
7,2,0,False
7,3,0,False
7,4,0,False
7,5,0,False
7,6,1,True
8,0,0,False
8,1,0,False
8,2,0,True
9,0,0,False
9,1,0,True
